GR07,RÍO GUADALFEO,36.93208,-3.42191
GR08,JETE,36.87401,-3.74214
GR09,PAMPANEIRA,36.95755,-3.34034
GR10,CHERÍN,37.11355,-3.02996
GR11,CANILES,37.25332,-2.77476
GR12,TORRECUEVAS,36.81804,-3.771283
GR13,SALERES,36.95643,-3.60148
GR14,ÓRGIVA,36.99176,-3.27062
GR15,EMBALSE DE BENINAR,36.8672,-3.12538
GR16,ZÚJAR,37.56712,-2.81881
GR17,RUBITE,36.81621,-3.31889
GR18,GÜEJAR SIERRA / HOTEL DEL DUQUE,37.05568,-3.36609
GR19,ALMEGÍJAR,36.94174,-3.27334
GR20,TORVIZCÓN,36.87123,-3.22675
GR20e,ÓRGIVA / LOS TABLONES,36.82413,-3.40128
GR21,PINOS GENIL,37.17466,-3.36821
GU01,MAJAELRAYO,41.20961,-3.41244
GU02,TERZAGA,40.66765,-1.8907
GU03,VILLARES DE JADRAQUE,41.16363,-3.07036
GU04,CORRALEJO,41.12939,-3.39407
GU05,VALLE DE TAJUÑA,40.61856,-2.95372
GU06,PUENTE RÍO TAJO,40.69751,-1.96533
GU07,PASTRANA (CM-2003),40.4365,-2.94745
GU08,UMBRALEJO / LA HUERCE,41.18568,-3.18737
GU09,POVEDA DE LA SIERRA,40.60288,-2.04097
HL01,ALMONÁSTER LA REAL,37.88417,-6.77756
HL02,ARROYO DEL SILLO,38.06134,-6.64926
HL03,FUENTE DEL REY,37.89711,-6.55753
HL04,EL REPILADO,37.95912,-6.81831
HL05,RIVERA DE CHANZA,38.01101,-6.9253
HL06,ARROYO MONTEMAYOR,38.033,-6.60916
HL07,SUR,37.88514,-6.66051
HU01,HOSPITAL DE TELLA,42.57434,0.18408
HU02,BONO,42.58219,0.69691
HU03,BOLTAÑA,42.40142,-0.03032
HU04,CAÑÓN DE AÑISCLO,42.58892,-0.02241
HU05,ARAGÜÉS DEL PUERTO,42.76321,-0.63361
HU06,NUENO (SUR),42.35363,-0.39476
HU07,SANTA CRUZ DE LA SERÓS,42.50792,-0.66538
HU08,VALLE DE HECHO,42.78715,-0.71178
HU09,A-2609 / SIN,42.58173,0.29456
HU10,ARGUIS,42.30043,-0.40266
HU11,BENASQUE,42.67881,0.64982
HU12,BIESCAS,42.61591,-0.20922
HU13,BENASQUE,42.56061,0.569
HU14,BIESCAS,42.80572,-0.41872
HU15,VILLANÚA,42.79575,-0.52534
HU16,PANTICOSA,42.75767,-0.23686
HU17,ESCALONA,42.56155,0.11029
IB01,ES MERCADAL,39.98528,4.11356
IB02,RANDA,39.52725,2.92723
IB03,PUIGPUNYENT,39.62802,2.49044
IB04,PORT DE VALLDEMOSSA,39.71522,2.60444
IB05,POLLENÇA,39.85585,2.90145
IB06,PUIGPUNYENT,39.63988,2.5564
IB07,PORT DE POLLENÇA,39.92857,3.11768
IB08,SÓLLER,39.79037,2.77447
IB09,SA CALOBRA,39.82755,2.81776
IB10,FELANITX,39.45556,3.18665
IB11,PUIG DEL MAR,38.9107,1.27321
IB12,SÓLLER,39.73048,2.68623
IB13,BUNYOLA,39.72709,2.73147
IB14,CAPDELLÀ,39.61278,2.50569
JA01,CAZORLA,37.94149,-2.93975
JA02,MOGÓN,38.07571,-2.91825
JA03,CORTIJOS NUEVOS,38.25407,-2.65816
JA04,CASTILLO DE LOCUBÍN,37.52571,-3.82874
JA05,QUESADA,37.78642,-3.03882
JA06,JAÉN,37.76825,-3.80195
JA07,CHARCO DEL ACEITE,38.16316,-2.87369
JA08,OTIÑAR / EMBALSE DE QUIEBRAJANO,37.61884,-3.76334
JA09,GARCÍEZ / JIMENA,37.78625,-3.48308
