ZA10,Herrera de los Navarros,1342,481,8.2,5.9,16,90
ASRG,Castañedo/Lavio,923,728,14.5,5.02,18,180
AS01,San Martín de Teverga,1587,1127,20,5.63,9,218
AS02,Precendi/Sames,803,659,7.8,8.4,21,254
AS03,Cecos,1315,1025,19,5.39,9,180
AS03,Ventanueva/Moal,1315,787,13,6.05,10,157
AS04,N-625 Puente la Huera,812,467,3.85,12.1,21,198
AS05,Poncebos,1308,1090,14.5,7.52,21,285
AS06,La Plaza (Teverga),1349,899,11.2,8.03,15,267
AS06,La Riera (Somiedo),1349,853,10.1,8.45,16,268
AS07,As-114,1135,962,14,6.87,15,271
AS08,La Frecha,1850,1431,23.5,6.08,25,408
AS09,San Antolín de Ibias,1137,847,17.02,4.8,13,215
AS09,S. Martín de Valledor,1137,837,15,5.58,16,203
AS09,Monasterio de Coto,1137,516,7.4,6.97,14,
AS10,La Foz,1627,949,18.2,5.2,10,156
AS11,Pola de Lena ,1764,1432,14.8,9.67,17,472
AS11,Sta. Marina / Llanuces,1764,1281,15.5,8.26,,
AS12,Pola de Somiedo,1206,499,8.2,6.09,18,137
AS13,La Riera,1503,996,19.8,5.03,10,178
AS14,Cangas del Narcea,1170,777,10,7.77,17,214
AS15,Proaza,830,637,7.1,8.97,18,196
AS15,San Andrés,830,695,8.5,8.17,16,186
AS16,Cecos,1158,868,11,7.89,17,308
AS17,La Vega (Riosa),1570,1265,12.6,10.04,23,515
AS17,Santa Eulalia ,1570,1403,17.7,7.93,23,516
AS18,Puente Vidosa,1003,707,7.5,9.43,17,217
AS18,Beleño,1003,625,8.3,7,13,145
AS19,Felechosa,1520,847,14.7,5.76,10,157
AS20,Puente Miera,908,612,11,5.65,10,115
AS21,Argatón,723,626,6.88,9.09,17,183
AS21,Rondiella,723,643,7.3,8.8,20,193
AS22,San Pedro,1050,910,19.4,4.69,18,217
AS22,Villamayor,1050,620,8.7,7.12,21,166
AS23,Campomanes,1683,1293,28.1,4.6,11,229
AS24,Loroñe,590,560,7.3,7.67,12,145
AS24,Arriondas,590,534,9.3,5.74,10,99
AS25,Ayones (Cruce N634),1012,933,13,7.17,26,
AS26,Sonande,1526,834,14.4,5.79,15,169
AS26,Cangas del Narcea/Bimeda,1526,1030,23,4.47,8,148
AS29,Puente Polea/Villayón,1145,1014,25.86,3.9,18,377
AS30,Somiedo (Embalse de la Malva),1708,1079,18.7,5.76,13,240
AS31,Cruce As-228 (Proacina),801,597,7.3,8.17,19,224
AS32,Vegadeo,1103,1088,26.7,4.07,,228
AS32,Taramundi,1103,843,22.9,3.68,,
AS32,Meredo/Molejón,1103,994,13.5,7.47,,268
AS32,Puente Urubio/Doiras,1103,980,21,4.9,,181
AS32,Soutelo,1103,837,10.5,7.97,14,320
AS33,Carballo,1143,653,6.8,9.6,20,285
AS34,Cruce Villar de Salcedo/Bárzana,1185,747,7,10.67,26,266
AS35,Piñeres,1198,827,10,8.27,12,209
AS36,Río Navia ,927,653,7.53,8.67,20,213
AS37,Oceño/cruce AS114,755,620,6.7,9.25,21,200
AS38,Taranes,1108,726,5.95,12.2,32,412
AS39,Belmonte/cruce Ondes,894,639,7.42,8.61,16,175
IB01,Es Mercadal,315,260,3,8.66,11,71
IB02,Randa,534,298,5.54,5.3,10,47
IB02,Llucmajor,534,378,6.5,5.81,,
IB04,Port de Valldemossa,368,366,5,7.3,12,75
IB05,Pollença,540,424,8,5.3,,
IB06,Puigpunyent,686,582,7.25,8.03,21,209
IB07,Port de Pollença,350,340,5.35,6.36,10,76
IB08,Sóller,871,854,14.5,5.9,9,148
IB09,Sa Calobra,723,713,10,7.1,12,149
IB10,Felanitx,486,346,5.4,6.4,10,81
IB12,Sóller,497,473,8.92,5.3,10,69
IB12,Bunyola,497,308,6.8,4.5,10,43
IB13,Bunyola,557,389,7.14,5.44,10,63
IB14,Capdellà,400,270,4.7,5.74,8,45
LP01,San Nicolás/Carrizal,1405,1370,24,5.7,19,419
LP02,Arrieta,631,613,12,5.1,13,
LP02,Tabayesco,631,617,11.27,5.47,13,
LP03,Agüimes,985,925,15.3,6.05,20,234
LP04,Arucas,1520,1498,26.9,5.7,19,343
LP04,Santa Brígida,1520,,,,,
LP04,Ayala,1520,,,,,
LP04,Tamaraceite,1520,,,,,
LP05,Cruce de la Sardina,1135,1075,28.4,3.79,17,210
LP06,Carrizal,1940,1937,28.8,6.73,21,481
LP06,Telde/Lomo Magullo,1940,,,,,
LP06,Telde/Vega de San Mateo,1940,,,,,
LP06,Ayacata,1940,600,11.7,5.13,12,139
LP06,Tejeda,1940,860,14.4,5.97,12,239
LP07,Sta. María de Guía,1625,1442,23.5,6.1,18,413
LP07,Hoya Pineda,1625,1425,29.3,4.86,,
LP08,Mogán,968,928,19.5,4.75,15,160
LP08,Barranquillo Andrés,968,743,11.2,6.63,16,
LP09,Tuineje,675,453,28.1,1.6,12,139
LP09,Llanos de la Concepción,675,446,7.64,5.83,,
LP09,Antigua,675,392,7.37,5.31,,
LP10,San Nicolás/Acusa,1303,1230,30.06,4.1,17,236
SC01,Los Cancajos-Los Llanitos,1470,1445,20,7.23,12,335
SC01,Los Cancajos-San Antonio,1470,1370,16.5,8.3,,
SC02,Tierra del Trigo,1105,1100,13.5,8.15,25,406
SC02,Icod de los Vinos,1105,1100,19.2,5.72,14,242
SC03,Taganana,730,725,10,7.25,16,
SC03,San Andrés,730,728,12.5,5.84,,
SC04,Santa Cruz de Tenerife,2356,2339,63.7,3.67,12,474
SC04,Los Gigantes ,2356,2353,51.8,4.54,12,411
SC04,El Médano ,2356,2353,51.5,4.57,12,461
SC04,Puerto de la Cruz ,2356,2346,46.7,5.02,16,387
SC05,Garafía,2400,2164,29.6,7.31,17,477
SC05,Santa Cruz de la Palma,2400,2390,41.4,5.78,17,518
SC06,La Laguna,965,414,9.2,4.5,,66
SC07,Garachico,1111,1080,20.1,5.37,13,173
SC07,Los Gigantes (Sur),1111,1106,18.1,6.11,10,194
SC08,Frontera,1336,1326,22.4,5.92,12,245
SC08,Puerto de La Estaca,1330,1310,23.9,5.48,,
SC09,San Sebastián de la Gomera,1487,1482,25.4,5.83,11,
SC10,Santa Cruz de la Palma,1309,1298,28.7,4.52,16,274
